,type,id,attributes.bioproject,attributes.accession,attributes.samples-count,attributes.secondary-accession,attributes.centre-name,attributes.is-public,attributes.public-release-date,attributes.study-abstract,attributes.study-name,attributes.data-origination,attributes.last-update,relationships.geocoordinates.links.related,relationships.samples.links.related,relationships.downloads.links.related,relationships.biomes.meta.count,relationships.biomes.data,relationships.biomes.links.related,relationships.publications.links.related,relationships.analyses.links.related,links.self,pipeline_version,biomes
2,studies,MGYS00002040,PRJEB22522,MGYS00002040,139.0,ERP104203,EMBL-EBI,True,,The Arctic Ocean metagenomes Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB14154. This project includes samples from the following biomes : Marine.,EMG produced TPA metagenomics assembly of the Arctic Ocean metagenomes from HLY1502 (Arctic Ocean metagenomes) data set,SUBMITTED,2021-03-29T19:11:38,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Oceanic', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002040,4.0|4.1|5.0,root:Environmental:Aquatic:Marine:Oceanic
8,studies,MGYS00001977,PRJEB22092,MGYS00001977,140.0,ERP024424,EMBL-EBI,True,,"The osd-2014 Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set, PRJEB8682. This project includes samples from the following biomes : Marine",EMG produced TPA metagenomics assembly of the Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014 (osd-2014) data set,SUBMITTED,2021-03-17T21:28:42,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Oceanic', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001977,4.0|4.1|5.0,root:Environmental:Aquatic:Marine:Oceanic
15,studies,MGYS00004076,PRJEB2971,MGYS00004076,6.0,ERP001357,UIB-UNIRES-MILJO,True,,"Ocean acidification (OA) may stimulate primary production through
                increased availability of inorganic carbon in the photic zone, which may in turn
                change the biogenic flux of dissolved organic carbon (DOC) and the growth potential
                of heterotrophic bacteria. In order to investigate the effects of OA on marine
                bacterial assemblages, a two-by-three factorial mescosom experiment was conducted
                using surface seawater from the East Greenland Current in Fram Strait.
                Pyrosequencing of the V1-V2 region of bacterial 16S ribosomal RNA genes was used to
                investigate differences in the endpoint (Day 9) composition of bacterial assemblages
                in mineral nutrient-replete mesocosms amended with glucose (0 M, 5.3 M and 15.9
                M) under ambient (250 atm) or acidified (400 atm) partial pressure of CO2 (pCO2).
                All mesocosms showed low richness and evenness by Chao1-estimator and Shannon-Wiener
                diversity index, respectively, with general dominance by Gammaproteobacteria and
                Flavobacteria. Non-metric multidimensional scaling analysis and two-way analysis of
                variance of the Jaccard dissimilarity matrix (97% similarity cut-off) demonstrated
                that the significant community shift between 0 M to 15.9 M glucose addition at 250
                atm pCO2 was eliminated at 400 atm pCO2. These results suggest that the response
                potential of marine bacteria to DOC input may be altered under acidified
                conditions.","Pyrosequencing reveals effect of increased pCO2 on bacterial assemblage
                shifts in response to glucose addition in Fram Strait seawater
                mesocosms",SUBMITTED,2021-03-11T14:00:30,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004076,4.1|5.0,root:Environmental:Aquatic:Marine
22,studies,MGYS00004123,PRJNA399019,MGYS00004123,10.0,SRP115720,Indigo V Expeditions,True,,Sequencing the microbiome of the world''s Oceans with data collected by citizen sailing oceanographers,The Indigo Project: a global citizen science Ocean survey,HARVESTED,2021-03-11T09:53:06,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Marine:Oceanic', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Marine:Oceanic'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00004123,4.1|5.0,root:Environmental:Aquatic:Marine:Oceanic
23,studies,MGYS00005495,PRJEB34634,MGYS00005495,1.0,ERP117568,CENTRE FOR ECOLOGY AND HYDROLOGY,True,,"OVERALL STUDY AIM
We do not fully understand how important types (species) of bacteria and packages of genetic material (genes) coding for antibiotic resistance move between humans, animals and the environment, or where, how and why antibiotic resistance emerges. This study aims to look in detail at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes. We will use this information to work out how best to slow down the spread of antibiotic resistance between humans, livestock and the environment.

STUDY BACKGROUND AND AIMS IN MORE DETAIL
Infections are one of the most common causes of ill-health in human and animal medicine, and are caused by a range of different micro-organisms, including viruses and bacteria. Amongst bacteria, there are some species, or types, of bacteria, which can live harmlessly in human and animal intestines, sewage, and rivers, but can also cause disease in humans and animals if they get into the wrong body space, such as the bloodstream or urine. Examples of these bacteria include E. coli, and other similar organisms, which belong to a family of bacteria called ""Enterobacteriaceae"".It has generally been possible to treat infections caused by bacteria using several classes of medicines, known as antibiotics. Different antibiotics kill bacteria in different ways: for example, they can switch off critical chemical processes that the bacteria need to survive, or they can break down the outer shell of the bacteria. In response to the use of antibiotics, bacteria have changed over time, finding ways to alter their structure so that antibiotics no longer have a target to act on, or by producing substances that break down the antibiotic before it has a chance to kill the bacteria. These changes to the bacteria's genetic code, so that they are no longer killed by an antibiotic, create antibiotic resistance. Bacteria can also acquire packages of genes that cause antibiotic resistance from other surrounding bacteria. This is known as horizontal gene transfer. Through these mechanisms, members of the Enterobacteriaceae family of bacteria have developed antibiotic resistance to a number of different antibiotics over a short period of time. In some cases we are no longer able to treat these infections with the antibiotics we have available.Studying antibiotic resistance and horizontal gene transfer in bacteria found in humans, animals and the environment is difficult because we cannot directly see how bacteria and their genetic material move between them. However, new ""Next Generation Sequencing"" (NGS) technologies allow scientists to look in great detail at the genetic code of large numbers of bacteria. Comparing this information across bacteria which have been living in the different parts of the environment (e.g. sewage treatment works, rivers) and in human and animal sewage allows us to see how bacteria have evolved to become resistant to antibiotics, and how resistance genes have been shared between them.This study will use NGS technologies to look at the genetic code of large numbers of Enterobacteriaceae bacteria found in humans, animals (pigs, sheep and poultry), sewage (pre-, during and post-treatment), and rivers. These different groups/areas will be sampled in different seasons of one calendar year to determine how antibiotic resistance genes move around between these locations and over time, and what factors might influence this movement. We will also be investigating whether various chemicals and nutrients in the water may be affecting how quickly horizontal gene transfer occurs. Understanding this is essential to work out how we might intervene more effectively to slow the spread of antibiotic resistance genes and bacteria, and keep our antibiotic medicines useful.","Detailed study at the genetic level at bacteria in farm animals, human/animal sewage, sewage treatment works and rivers, to work out the complex network of transmission of important antibiotic-resistant bacteria and antibiotic resistance genes",SUBMITTED,2021-03-04T03:59:46,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/downloads,1,"[{'type': 'biomes', 'id': 'root:Mixed', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Mixed'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005495,4.1,root:Mixed
26,studies,MGYS00002035,PRJEB22516,MGYS00002035,12.0,ERP104197,EMBL-EBI,True,,The Ecosystem functions in cryoconites Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB12327. This project includes samples from the following biomes : Freshwater.,EMG produced TPA metagenomics assembly of the Light-dependent microbial metabolisms drive carbon fluxes on glacier surfaces (Ecosystem functions in cryoconites) data set,SUBMITTED,2021-02-15T14:05:46,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/downloads,1,"[{'type': 'biomes', 'id': 'root:Environmental:Aquatic:Freshwater:Ice:Glacier', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Freshwater:Ice:Glacier'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002035,4.0|4.1|5.0,root:Environmental:Aquatic:Freshwater:Ice:Glacier
31,studies,MGYS00005321,PRJEB29015,MGYS00005321,530.0,ERP111281,EMG,True,,"The RA Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB6997.  This project includes samples from the following biomes: Host-associated, Human, Digestive system.",EMG produced TPA metagenomics assembly of the Gut and Oral Microbiome Dysbiosis in Rheumatoid Arthritis (RA) data set.,SUBMITTED,2021-01-12T11:18:44,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005321,4.1|5.0,root:Host-associated:Human:Digestive system
33,studies,MGYS00001985,PRJEB22368,MGYS00001985,52.0,ERP104047,EMBL-EBI,True,,The human gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA289586. This project includes samples from the following biomes : Human gut.,EMG produced TPA metagenomics assembly of the Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus (human gut metagenome) data set,SUBMITTED,2021-01-05T17:46:04,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001985,4.0|4.1|5.0,root:Host-associated:Human:Digestive system:Large intestine:Fecal
42,studies,MGYS00005360,PRJNA289586,MGYS00005360,184.0,SRP072561,Luxembourg Centre for Systems Biomedicine,True,,"Recent evidence from high-resolution molecular studies suggests links between microbial dysbiosis in the gastrointestinal tract and a number of complex chronic diseases including diabetes mellitus. The present study forms a pilot study for the larger Luxembourg-based Diabetes Multiplex Family Study (MUST). Within the pilot study, we investigate the interplay of the gastrointestinal microbiota, lifestyle and genetic background in an observational study of families with two or more individuals affected by type 1 diabetes mellitus. Faecal samples which have undergone comprehensive biomolecular extractions are currently analysed using a multi-omics approach. Anthropometric data, including demographics, medical history, health status, medication, and dietary habits of all study participants were collected and are integrated with molecular data.",Human Gut Microbiome in a Multiplex Family Study of Type 1 Diabetes Mellitus,HARVESTED,2020-12-16T20:53:07,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Human:Digestive system:Large intestine:Fecal', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00005360,4.1|5.0,root:Host-associated:Human:Digestive system:Large intestine:Fecal
43,studies,MGYS00002264,PRJNA264728,MGYS00002264,7.0,SRP049210,JCVI,True,,"Dental caries, one of the most globally widespread infectious diseases is intimately linked to pH dynamics. In supragingival plaque, after the addition of a carbohydrate source, bacteria rapidly decrease the pH which then subsequently recovers. In this project we studied gene transcription in naturally diverse saliva-derived in vitro grown biofilms as they were amended with sugar (corresponding to a dietary intake of carbohydrates). We applied an in vitro biofilm model system that was previously determined to be functionally and taxonomically robust and representative of health-associated dental plaque. The major goal was to characterize critical gene expression mechanisms supporting the understudied pH-recovery stage associated with health. This study provides a solid baseline for defining healthy and disease-like states and highlights the power of moving beyond single and dual species applications to capture key players and their orchestrated metabolic activities within a human oral microbiome model.",Gene expression anlayses of saliva-derived in vitro biofilms during carbohydrate fermentation and pH stress,HARVESTED,2020-12-08T10:07:14,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/geocoordinates,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/samples,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/downloads,1,"[{'type': 'biomes', 'id': 'root:Host-associated:Arthropoda:Digestive system:Oral:Saliva', 'links': {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Arthropoda:Digestive%20system:Oral:Saliva'}}]",https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/biomes,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/publications,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264/analyses,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002264,4.1|5.0,root:Host-associated:Arthropoda:Digestive system:Oral:Saliva
